"Mode test activé","Mode test activé"
"Frais de service Yesbycash","Frais de service Yesbycash"
"OK Method was succesful","OK Method was succesful"
"Le numéro de téléphone renseigné n\'est pas correct : ","Le numéro de téléphone renseigné n\'est pas correct : "
"En monnaie actuelle","En monnaie actuelle"
"En pourcentage","En pourcentage"
"Votre commande est annulée","Votre commande est annulée"
"Votre commande est déjà annulée","Votre commande est déjà annulée"
"Opération non permise","Opération non permise"
"Commande déjà payée","Commande déjà payée"
"Numéro de commande invalide","Numéro de commande invalide"
"Numéro de commande invalide ou non présent","Numéro de commande invalide ou non présent"
"Activer","Activer"
"Titre","Titre"
"Merchant Id","Identifiant Marchand"
"Merchant Key","Clé marchand"
"Key","Clé"
"Tax","Frais de service"
"Tax type","Mode d'application du frais"
"Tax value","Valeur du frais"
"Mode test","Mode test"
"Server","Serveur"
"Payment from applicable countries","Payment from applicable countries"
"Payment from Specific countries","Payment from Specific countries"
"Sort order","Sort order"
"Une erreur est survenue lors de la commande.","Une erreur est survenue lors de la commande."
"La commande s'est bien déroulée.","La commande s'est bien déroulée."
"Vous allez recevoir par email le récapitulatif de votre commande YesByCash avec le code barre en pièce jointe à présenter dans le point de paiement.","Vous allez recevoir par email le récapitulatif de votre commande YesByCash avec le code barre en pièce jointe à présenter dans le point de paiement."
"Vous pouvez désormais vous rendre au point de paiement choisi pour régler votre commande.","Vous pouvez désormais vous rendre au point de paiement choisi pour régler votre commande."
"Vous avez la possibilité de payer votre commande dans les points de vente accessibles sur :","Vous avez la possibilité de payer votre commande dans les points de vente accessibles sur :"
"- Frais de service Yesbycash :","- Frais de service Yesbycash :"
"Le paiement en cash sur internet","Le paiement en cash sur internet"
"Vous avez la possibilité de <b>payer votre commande</b> dans les points de vente accessibles sur :","Vous avez la possibilité de <b>payer votre commande</b> dans les points de vente accessibles sur :"
"Cependant, nous vous recommandons de vous assurer au préalable qu\'un point de paiement est disponible dans la ville de votre choix.","Cependant, nous vous recommandons de vous assurer au préalable qu\'un point de paiement est disponible dans la ville de votre choix."
"Il vous sera toujours possible de régler votre commande dans un autre point de paiement YesByCash","Il vous sera toujours possible de régler votre commande dans un autre point de paiement YesByCash"
"Je sélectionne un point de paiement :","Je sélectionne un point de paiement :"
"Code postal","Code postal"
"Veuillez patienter","Veuillez patienter"
"Rechercher","Rechercher"
"Nous avons trouvé ","Nous avons trouvé "
"point de paiement <br />correspondant au code postal","point de paiement <br />correspondant au code postal"
"points","points"
"point","point"
"de paiement","de paiement"
"correspondant au code postal","correspondant au code postal"
"Je choisis ce point de paiement","Je choisis ce point de paiement"
"Je choisirai ultérieurement un autre point de paiement","Je choisirai ultérieurement un autre point de paiement"
"Point de paiement selectionné","Point de paiement selectionné"
"Je sélectionne un point de paiement","Je sélectionne un point de paiement"
"Authentication required","Missing signature"
"Missing signature","Missing signature"
"Invalid signature","Invalid signature"
"Missing merchant identifier","Missing merchant identifier"
"Invalid merchant identifier","Invalid merchant identifier"
"Missing parameter customerid","Missing parameter customerid"
"Invalid parameter customerid","Invalid parameter customerid"
"Missing transaction identifier","Missing transaction identifier"
"Invalid transaction identifier","Invalid transaction identifier"
"Missing amount","Missing amount"
"Invalid amount","Invalid amount"
"Missing currency","Missing currency"
"Invalid currency","Invalid currency"
"Missing key identifier (keyid)","Missing key identifier (keyid)"
"Invalid key identifier (keyid)","Invalid key identifier (keyid)"
"Missing timestamp parameter","Missing timestamp parameter"
"Missing timestamp parameter","Missing timestamp parameter"
"Missing expirytime parameter","Missing expirytime parameter"
"Missing buyeremail parameter","Missing buyeremail parameter"
"Invalid buyeremail parameter","Invalid buyeremail parameter"
"Missing buyeraddress parameter","Missing buyeraddress parameter"
"Invalid buyeraddress parameter","Invalid buyeraddress parameter"
"Missing buyercity parameter","Missing buyercity parameter"
"Invalid buyercity parameter","Invalid buyercity parameter"
"Missing buyerzip parameter","Missing buyerzip parameter"
"Invalid buyerzip parameter","Invalid buyerzip parameter"
"Missing URL OK","Missing URL OK"
"Invalid URL OK parameter","Invalid URL OK parameter"
"Missing URL NOK","Missing URL NOK"
"Invalid URL NOK parameter","Invalid URL NOK parameter"
"Missing URL S2S","Missing URL S2S"
"Invalid URL S2S parameter","Invalid URL S2S parameter"
"Missing lname parameter","Missing lname parameter"
"Invalid lname parameter","Invalid lname parameter"
"Missing fname parameter","Missing fname parameter"
"Invalid fname parameter","Invalid fname parameter"
"Missing customerip parameter","Missing customerip parameter"
"Invalid customerip parameter","Invalid customerip parameter"
"Missing buyercountry parameter","Missing buyercountry parameter"
"Invalid buyercountry parameter","Invalid buyercountry parameter"
"Missing buyerjob parameter","Missing buyerjob parameter"
"Invalid buyerjob parameter","Invalid buyerjob parameter"
"Missing buyerbirthdate parameter","Missing buyerbirthdate parameter"
"Invalid buyerbirthdate parameter","Invalid buyerbirthdate parameter"
"Missing buyerbirthcity parameter","Missing buyerbirthcity parameter"
"Unreachable Error","Unreachable Error"
"Missing buyerbirthcity parameter","Missing buyerbirthcity parameter"
"Invalid HTTP USER AGENT","Invalid HTTP USER AGENT"
"Invalid HTTP ACCEPT",Invalid HTTP ACCEPT""
"Missing zipcode parameter","Missing zipcode parameter"
"Invalid barcode parameter","Invalid barcode parameter"
"Missing barcode parameter","Missing barcode parameter"
"Invalid zipcode parameter","Invalid zipcode parameter"
"Missing country parameter","Missing country parameter"
"Invalid country parameter","Invalid country parameter"
"Incorrect merchant identifier","Incorrect merchant identifier"
"Key identifer not found","Key identifer not found"
"Incorrect signature","Incorrect signature"
"Currency not available for this merchant","Currency not available for this merchant"
"User blacklisted","User blacklisted"
"Canceled: Max number of transactions/card reached","Canceled: Max number of transactions/card reached"
"Canceled: Max total amount of transactions/card reached","Canceled: Max total amount of transactions/card reached"
"Canceled: Max number of transactions/email reached","Canceled: Max number of transactions/email reached"
"Canceled: Max total amount of transactions/email reached","Canceled: Max total amount of transactions/email reached"
"Canceled: Max number of transactions/customer reached","Canceled: Max number of transactions/customer reached"
"Canceled: Max total amount of transactions/customer reached","Canceled: Max total amount of transactions/customer reached"
"No transaction found","No transaction found"
"No outlet found","No outlet found"
"Max total amount of transactions/customer reached","Max total amount of transactions/customer reached"
"Authentication not confirmed","Authentication not confirmed"
"Technical Error","Technical Error"